section id,recording id,timestamp [ns],gyro x [deg/s],gyro y [deg/s],gyro z [deg/s],acceleration x [G],acceleration y [G],acceleration z [G],roll,pitch
8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843416264371234,-0.670732,2.256098,3.231707,-0.126953,-0.976562,-0.054932,14.364371971785317,-3.224483040015855
8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843416269450234,-0.426829,2.195122,3.902439,-0.13031,-0.976746,-0.054504,14.815202165642347,-3.1690901299733127
8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843416274529234,-0.182927,2.317073,4.512195,-0.128845,-0.985901,-0.053345,14.411718186875504,-3.091189987062762
8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843416279608234,0.060976,2.439024,5.060976,-0.128174,-0.983826,-0.051819,14.440322833057309,-2.778063373783141
8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843416284687234,0.670732,2.5,5.243903,-0.122131,-0.992737,-0.052734,14.130778373438801,-2.9783427313102493
8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843416289766234,0.914634,2.5,5.243903,-0.119629,-1.000122,-0.053711,13.751959084906645,-3.0966659794681846
8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843416294845234,1.097561,2.560976,4.634146,-0.122864,-1.011292,-0.049744,13.94630082109083,-2.8042659314447462
8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843416299924234,1.341463,2.5,3.719512,-0.117065,-1.013733,-0.047119,13.578205925484099,-2.648082692840944
8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843416305003234,1.52439,2.256098,2.439024,-0.120422,-1.015991,-0.047974,13.991928723438605,-2.7697222573269187
8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843416310082234,1.585366,2.195122,1.341463,-0.117798,-1.013733,-0.044434,13.684345179530027,-2.5425084300810568
8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843416315161234,1.829268,2.073171,0.304878,-0.118896,-1.004822,-0.049072,13.753590467751906,-2.8437396426318173
